Date,Close,High,Low,Open,Volume,SMA_30,SMA_50,EMA_30,EMA_50,MACD,Signal_Line,RSI
,^GSPC,^GSPC,^GSPC,^GSPC,^GSPC,,,,,,,
2012-03-28,1405.5400390625,1413.6500244140625,1397.199951171875,1412.52001953125,3892800000,1378.9516682942708,1359.1218041992188,1379.3790091531932,1358.3045634822124,15.668114130981394,15.721796185827833,70.04558044992633
2012-03-29,1403.280029296875,1405.3900146484375,1391.56005859375,1405.3900146484375,3832000000,1380.9533365885416,1361.0266040039062,1380.9210104527856,1360.0683072396503,14.811927209857686,15.539822390633804,66.85393044451978
2012-03-30,1408.469970703125,1410.8900146484375,1401.4200439453125,1403.31005859375,3676890000,1382.6343343098958,1362.9060034179688,1382.698362727001,1361.9664116891984,14.38634101961975,15.309126116430994,68.48303843799835
2012-04-02,1419.0400390625,1422.3800048828125,1404.4599609375,1408.469970703125,3572010000,1384.5613362630208,1364.9792041015626,1385.0429870067107,1364.204593154818,14.732153975940719,15.19373168833294,63.296171851935156
2012-04-03,1413.3800048828125,1419.0,1404.6199951171875,1418.97998046875,3822090000,1386.2670043945313,1366.9268041992189,1386.8711817083947,1366.1330406735628,14.38368956013801,15.031723262693955,60.51529777673835
2012-04-04,1398.9599609375,1413.0899658203125,1394.0899658203125,1413.0899658203125,3938290000,1387.6436686197917,1368.6130029296876,1387.6511029489823,1367.4203708799919,12.796442542887235,14.584667118732613,48.122155902812324
2012-04-05,1398.0799560546875,1401.5999755859375,1392.9200439453125,1398.7900390625,3303740000,1388.7976684570312,1370.0534008789064,1388.3239321816086,1368.6227075535094,11.33684471771835,13.935102638529761,46.83565981154766
2012-04-09,1382.199951171875,1397.449951171875,1378.239990234375,1397.449951171875,3468980000,1389.3463338216145,1371.328798828125,1387.9288366325936,1369.1551484797199,8.797309340193806,12.90754397886257,37.06935076899807
2012-04-10,1358.5899658203125,1383.010009765625,1357.3800048828125,1382.1800537109375,4631730000,1389.0463338216146,1372.1739990234375,1386.0360062576078,1368.7408275911157,4.823972998245836,11.290829782739223,31.363656194404996
2012-04-11,1368.7099609375,1374.7099609375,1358.97998046875,1358.97998046875,3743040000,1388.9306640625,1373.287998046875,1384.9181968821172,1368.7396171341113,2.4632792012446316,9.525319666440305,37.188887760303004
2012-04-12,1387.5699462890625,1388.1300048828125,1368.77001953125,1368.77001953125,3618280000,1389.6603271484375,1374.7911962890626,1385.089277489017,1369.4780614146978,2.090161477208767,8.038288028593998,48.16739988990917
2012-04-13,1370.260009765625,1387.6099853515625,1369.8499755859375,1387.6099853515625,3631160000,1389.5326619466146,1375.7145971679688,1384.1325505391208,1369.5087260559108,0.39316363482998895,6.509263149841196,41.34597603918714
2012-04-16,1369.5699462890625,1379.6600341796875,1365.3800048828125,1370.27001953125,3574780000,1389.5306599934895,1376.5951953125,1383.1930276842784,1369.5111268493677,-0.9959213752476899,5.008226244823419,32.79576002211975
2012-04-17,1390.780029296875,1392.760009765625,1369.5699462890625,1369.5699462890625,3456200000,1390.4123291015626,1377.5127954101563,1383.6825116592847,1370.3452014551524,-0.38091387681902233,3.930398220494931,42.92502900001589
2012-04-18,1385.1400146484375,1390.780029296875,1383.2900390625,1390.780029296875,3463140000,1391.8049967447917,1378.3289965820313,1383.7765441101978,1370.9253902078303,-0.34464519471384847,3.0753895374531752,43.302691555196475
2012-04-19,1376.9200439453125,1390.4599609375,1370.300048828125,1385.0799560546875,4180020000,1392.6146647135417,1378.926396484375,1383.3341892608505,1371.1604746681237,-0.9680261386733946,2.2667064022278613,41.67194382888265
2012-04-20,1378.530029296875,1387.4000244140625,1376.9599609375,1376.9599609375,3833320000,1393.035331217448,1379.4977978515626,1383.024243456723,1371.4494768104278,-1.3169664953413758,1.549971822714014,40.32198494246886
